sample_id,original_record_id,original_filepath,original_relative_path,label,partition,fold,augmentation_type,augmentation_params,augmentation_index,seed,output_reference
aug_b7439a3812ce5f3a884b,rec_9fe218fb42a48370949d,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\476_M_eairh.wav,belly_pain/476_M_eairh.wav,baby,train,final_refit,gaussian_noise,"{""noise_factor"":0.004793122}",0,13807773780005389956,virtual:aug_b7439a3812ce5f3a884b
aug_d648af78ce41e18fdb20,rec_e9a32a70ab1a0d3ad1d9,D:\INFANT CRY\data_set_dbl_split\train\tired\508_M_owh.wav,tired/508_M_owh.wav,baby,train,final_refit,pitch_shift,"{""steps"":0.803297}",1,382265110522476486,virtual:aug_d648af78ce41e18fdb20
aug_126989a677da94cebfec,rec_e03def87d42d24b8bdf8,D:\INFANT CRY\data_set_dbl_split\train\tired\2168_M_owh.wav,tired/2168_M_owh.wav,baby,train,final_refit,pitch_shift,"{""steps"":-1.195807}",2,8651328433889323896,virtual:aug_126989a677da94cebfec
aug_44e60cafa929d2c7b12b,rec_17f1b23ae4cf46ed1101,D:\INFANT CRY\data_set_dbl_split\train\tired\4146_M_owh.wav,tired/4146_M_owh.wav,baby,train,final_refit,time_stretch,"{""rate"":1.105993}",3,1699574260770022252,virtual:aug_44e60cafa929d2c7b12b
aug_41accca787cb17053903,rec_f2be0c0fdf45d429dfda,D:\INFANT CRY\data_set_dbl_split\train\burping\3680_M_eh.wav,burping/3680_M_eh.wav,baby,train,final_refit,time_stretch,"{""rate"":0.88513}",4,1235283116658036604,virtual:aug_41accca787cb17053903
aug_d04634fcf89c899fa6ab,rec_b9360ab2f4023e09693c,D:\INFANT CRY\data_set_dbl_split\train\discomfort\3335_M_heh.wav,discomfort/3335_M_heh.wav,baby,train,final_refit,time_shift,"{""fraction"":-0.0205225}",5,16154962184534954130,virtual:aug_d04634fcf89c899fa6ab
aug_3508ddf2a1a5381c5b5f,rec_33b4e755a718fa24b761,D:\INFANT CRY\data_set_dbl_split\train\tired\2267_F_owh.wav,tired/2267_F_owh.wav,baby,train,final_refit,gaussian_noise,"{""noise_factor"":0.002325986}",6,468672265073981448,virtual:aug_3508ddf2a1a5381c5b5f
aug_486499ba404722309213,rec_b072edcd3862f9a5d63c,D:\INFANT CRY\data_set_dbl_split\train\tired\4633_F_owh.wav,tired/4633_F_owh.wav,baby,train,final_refit,pitch_shift,"{""steps"":2.095302}",7,18028218650413594850,virtual:aug_486499ba404722309213
aug_28b0d8b5a6a332cd377d,rec_29983012fc0aa8de3970,D:\INFANT CRY\data_set_dbl_split\train\tired\3313_M_owh.wav,tired/3313_M_owh.wav,baby,train,final_refit,pitch_shift,"{""steps"":-1.960174}",8,5052186736544010889,virtual:aug_28b0d8b5a6a332cd377d
aug_2ff0df51f6c80a7b9fcb,rec_010c54dba3c33a235f36,D:\INFANT CRY\data_set_dbl_split\train\burping\dunstan-eh_56.wav,burping/dunstan-eh_56.wav,baby,train,final_refit,time_stretch,"{""rate"":1.193395}",9,1875190891646953301,virtual:aug_2ff0df51f6c80a7b9fcb
aug_b38c25ed924b99740a9b,rec_e25b8259cdfa135f6d37,D:\INFANT CRY\data_set_dbl_split\train\tired\1966_M_owh.wav,tired/1966_M_owh.wav,baby,train,final_refit,time_stretch,"{""rate"":0.783389}",10,12048872063825252216,virtual:aug_b38c25ed924b99740a9b
aug_874522c04e91c4593063,rec_85edc8f84763e4037032,D:\INFANT CRY\data_set_dbl_split\train\burping\1679_F_eh.wav,burping/1679_F_eh.wav,baby,train,final_refit,gaussian_noise,"{""noise_factor"":0.00549748}",11,9481009263384526763,virtual:aug_874522c04e91c4593063
aug_e4af50ed0e95044e7886,rec_7d9becd3a9a4b0da6a50,D:\INFANT CRY\data_set_dbl_split\train\burping\2117_M_eh.wav,burping/2117_M_eh.wav,baby,train,final_refit,pitch_shift,"{""steps"":0.863646}",12,11664923638789021980,virtual:aug_e4af50ed0e95044e7886
aug_75c881310a3f7ae1ac8e,rec_7923b3cade105f0c3c70,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\2651_F_eairh.wav,belly_pain/2651_F_eairh.wav,baby,train,final_refit,pitch_shift,"{""steps"":-1.180995}",13,14707437412792531566,virtual:aug_75c881310a3f7ae1ac8e
aug_98e9189922adf4338dbb,rec_8e8cba3c6a2d7b965e01,D:\INFANT CRY\data_set_dbl_split\train\discomfort\4203_M_heh.wav,discomfort/4203_M_heh.wav,baby,train,final_refit,time_stretch,"{""rate"":1.117768}",14,4335050641850292239,virtual:aug_98e9189922adf4338dbb
aug_6c10c98967d0ccef4565,rec_62b412afc0f37e27404c,D:\INFANT CRY\data_set_dbl_split\train\tired\620_M_owh.wav,tired/620_M_owh.wav,baby,train,final_refit,time_stretch,"{""rate"":0.899188}",15,4639147560550307785,virtual:aug_6c10c98967d0ccef4565
aug_2a7c9b5977eec07eb7ea,rec_9b5466053393e9dbc382,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_23.wav,belly_pain/dunstan-eairh_23.wav,baby,train,final_refit,time_shift,"{""fraction"":0.0962714}",16,11838580351935636250,virtual:aug_2a7c9b5977eec07eb7ea
aug_cc624db36099f7288267,rec_563bf3b849e217c99c2b,D:\INFANT CRY\data_set_dbl_split\train\hungry\dunstan-neh_66.wav,hungry/dunstan-neh_66.wav,baby,train,final_refit,gaussian_noise,"{""noise_factor"":0.002746635}",17,2820636125983620207,virtual:aug_cc624db36099f7288267
aug_2ee6098129f0098dc252,rec_43d212cc278f3fa7f39d,D:\INFANT CRY\data_set_dbl_split\train\discomfort\2128_M_heh.wav,discomfort/2128_M_heh.wav,baby,train,final_refit,pitch_shift,"{""steps"":1.841287}",18,5546551910089366501,virtual:aug_2ee6098129f0098dc252
aug_03eb33311fe870ee7c62,rec_18bf1cb37095850480ee,D:\INFANT CRY\data_set_dbl_split\train\tired\1434_M_owh.wav,tired/1434_M_owh.wav,baby,train,final_refit,pitch_shift,"{""steps"":-1.902499}",19,9237513431697586056,virtual:aug_03eb33311fe870ee7c62
aug_b5d6981bfbe3a0c0fe5b,rec_565dd3342f1ac221607e,D:\INFANT CRY\data_set_dbl_split\train\burping\392_M_eh.wav,burping/392_M_eh.wav,baby,train,final_refit,time_stretch,"{""rate"":1.182103}",20,18344917424179829022,virtual:aug_b5d6981bfbe3a0c0fe5b
aug_4386f6f5fb805db5ea41,rec_80aa4905086476d9ee4e,D:\INFANT CRY\data_set_dbl_split\train\burping\3368_M_eh.wav,burping/3368_M_eh.wav,baby,train,final_refit,time_stretch,"{""rate"":0.809545}",21,8618335498744695057,virtual:aug_4386f6f5fb805db5ea41
aug_4868e338fad7f8175649,rec_3a4f0fe4fd6a0cff506f,D:\INFANT CRY\data_set_dbl_split\train\tired\503_F_owh.wav,tired/503_F_owh.wav,baby,train,final_refit,gaussian_noise,"{""noise_factor"":0.004871925}",22,112643987480753116,virtual:aug_4868e338fad7f8175649
aug_c677ba2d5ae8e519a6fc,rec_8d606ae504c4a0515c0a,D:\INFANT CRY\data_set_dbl_split\train\tired\3223_M_owh.wav,tired/3223_M_owh.wav,baby,train,final_refit,pitch_shift,"{""steps"":0.942964}",23,6024372679695833677,virtual:aug_c677ba2d5ae8e519a6fc
aug_98207d039fff9f21a16b,rec_3ca5af599f5e2d718692,D:\INFANT CRY\data_set_dbl_split\train\hungry\303_F_neh.wav,hungry/303_F_neh.wav,baby,train,final_refit,pitch_shift,"{""steps"":-1.076652}",24,8229456806732563642,virtual:aug_98207d039fff9f21a16b
aug_c50f060627f9d0650e7c,rec_824fade1ae528dc5209e,D:\INFANT CRY\data_set_dbl_split\train\tired\3832_M_owh.wav,tired/3832_M_owh.wav,baby,train,final_refit,time_stretch,"{""rate"":1.108991}",25,10729754822760353727,virtual:aug_c50f060627f9d0650e7c
