sample_id,original_record_id,original_filepath,original_relative_path,label,partition,fold,augmentation_type,augmentation_params,augmentation_index,seed,output_reference
aug_ebb24ba4c59d1db9f84d,rec_18d9850a2ad7c58b08a3,D:\INFANT CRY\data_set_dbl_split\train\tired\1396_M_owh.wav,tired/1396_M_owh.wav,baby,train,2,gaussian_noise,"{""noise_factor"":0.005513138}",0,9459812274898046199,virtual:aug_ebb24ba4c59d1db9f84d
aug_8fca979f26569c19a4e6,rec_8e1af1b14f5eefa2208e,D:\INFANT CRY\data_set_dbl_split\train\burping\103_M_eh.wav,burping/103_M_eh.wav,baby,train,2,pitch_shift,"{""steps"":0.946443}",1,13519394602051516314,virtual:aug_8fca979f26569c19a4e6
aug_5d20d11441b374199c68,rec_7f5f72cffacee5752ddb,D:\INFANT CRY\data_set_dbl_split\train\burping\3331_M_eh.wav,burping/3331_M_eh.wav,baby,train,2,pitch_shift,"{""steps"":-1.026022}",2,4718311145838297922,virtual:aug_5d20d11441b374199c68
aug_1695d2c5644fe27ec359,rec_1eb9fd4af465d3df769d,D:\INFANT CRY\data_set_dbl_split\train\burping\306_M_eh.wav,burping/306_M_eh.wav,baby,train,2,time_stretch,"{""rate"":1.089322}",3,13134034495952600890,virtual:aug_1695d2c5644fe27ec359
aug_3f0c2a030e368ca788c8,rec_f0237c7bc85ed44d1c5c,D:\INFANT CRY\data_set_dbl_split\train\tired\649_M_owh.wav,tired/649_M_owh.wav,baby,train,2,time_stretch,"{""rate"":0.919704}",4,592381392803222844,virtual:aug_3f0c2a030e368ca788c8
aug_9fc0718170162b22f4a9,rec_7c3c65da7a88a56a3da5,D:\INFANT CRY\data_set_dbl_split\train\hungry\dunstan-neh_38.wav,hungry/dunstan-neh_38.wav,baby,train,2,time_shift,"{""fraction"":-0.0911859}",5,5972472620465479211,virtual:aug_9fc0718170162b22f4a9
aug_ed808335b389a8830642,rec_4aeef63044c75c534d96,D:\INFANT CRY\data_set_dbl_split\train\hungry\2514_M_neh.wav,hungry/2514_M_neh.wav,baby,train,2,gaussian_noise,"{""noise_factor"":0.002826178}",6,10698067471928839690,virtual:aug_ed808335b389a8830642
aug_8b058eba8f296c536164,rec_bda4e1bc8fb3cf2fe45e,D:\INFANT CRY\data_set_dbl_split\train\tired\4466_M_owh.wav,tired/4466_M_owh.wav,baby,train,2,pitch_shift,"{""steps"":2.133272}",7,16132442827381329107,virtual:aug_8b058eba8f296c536164
aug_05fc7ef6e49357df1d17,rec_19e3c637f4eccbf04858,D:\INFANT CRY\data_set_dbl_split\train\tired\1972_M_owh.wav,tired/1972_M_owh.wav,baby,train,2,pitch_shift,"{""steps"":-1.810263}",8,10532150882533276079,virtual:aug_05fc7ef6e49357df1d17
aug_3ec68d6245355e9f6405,rec_7ce9858654348e280daa,D:\INFANT CRY\data_set_dbl_split\train\tired\1897_M_owh.wav,tired/1897_M_owh.wav,baby,train,2,time_stretch,"{""rate"":1.192192}",9,4312500229325546688,virtual:aug_3ec68d6245355e9f6405
