sample_id,original_record_id,original_filepath,original_relative_path,label,partition,fold,augmentation_type,augmentation_params,augmentation_index,seed,output_reference
aug_1076cb503f8bd8cd637c,rec_02ded2dafd9c65710523,/mnt/d/INFANT CRY/data_set_dbl_split/train/burping/3414_M_eh.wav,burping/3414_M_eh.wav,baby,train,5,gaussian_noise,"{""noise_factor"":0.005354083}",0,1156457475674741349,virtual:aug_1076cb503f8bd8cd637c
aug_1963b61a63ac948c44e0,rec_d063c5f9742a23575dbd,/mnt/d/INFANT CRY/data_set_dbl_split/train/hungry/dunstan-neh_43.wav,hungry/dunstan-neh_43.wav,baby,train,5,pitch_shift,"{""steps"":1.101283}",1,17335137063713585973,virtual:aug_1963b61a63ac948c44e0
aug_db8cc77f9d8a9f951b7e,rec_6ec687220bbd68b07f36,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/1903_M_owh.wav,tired/1903_M_owh.wav,baby,train,5,pitch_shift,"{""steps"":-0.811417}",2,9422135188279214547,virtual:aug_db8cc77f9d8a9f951b7e
aug_4a8312d9359d6874697f,rec_4c812f62677ec209a552,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/558_M_owh.wav,tired/558_M_owh.wav,baby,train,5,time_stretch,"{""rate"":1.0991}",3,1463121483130994995,virtual:aug_4a8312d9359d6874697f
aug_23db433dc086bb805c97,rec_54d53591b959293f3ed9,/mnt/d/INFANT CRY/data_set_dbl_split/train/burping/dunstan-eh_5.wav,burping/dunstan-eh_5.wav,baby,train,5,time_stretch,"{""rate"":0.923167}",4,6664464403336418764,virtual:aug_23db433dc086bb805c97
aug_00de4b8e3ca007b4a5ef,rec_bb69c12272a7b5c6887b,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_6.wav,belly_pain/dunstan-eairh_6.wav,baby,train,5,time_shift,"{""fraction"":0.053922}",5,9904287897084879270,virtual:aug_00de4b8e3ca007b4a5ef
aug_1815a71f264469aebd99,rec_d4bba21d40cf89469609,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/1662_M_owh.wav,tired/1662_M_owh.wav,baby,train,5,gaussian_noise,"{""noise_factor"":0.002132306}",6,17739369617495063934,virtual:aug_1815a71f264469aebd99
aug_0c952ad7c2177cb5f5d2,rec_09745ee499f542515c18,/mnt/d/INFANT CRY/data_set_dbl_split/train/burping/223_M_eh.wav,burping/223_M_eh.wav,baby,train,5,pitch_shift,"{""steps"":2.110593}",7,14010177508471775256,virtual:aug_0c952ad7c2177cb5f5d2
aug_cdffcc3a0ab48771d05a,rec_89750d3ef7380e0066ad,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/4284_M_owh.wav,tired/4284_M_owh.wav,baby,train,5,pitch_shift,"{""steps"":-2.17395}",8,2603960697550217814,virtual:aug_cdffcc3a0ab48771d05a
aug_505c587699f054c4678c,rec_f4d972ce5aa401717524,/mnt/d/INFANT CRY/data_set_dbl_split/train/discomfort/dunstan-heh_56.wav,discomfort/dunstan-heh_56.wav,baby,train,5,time_stretch,"{""rate"":1.179065}",9,7756026301890344232,virtual:aug_505c587699f054c4678c
aug_711b464fe14eba85aebd,rec_48951fef0bfcff5b8170,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/3615_M_owh.wav,tired/3615_M_owh.wav,baby,train,5,time_stretch,"{""rate"":0.776954}",10,6530212007629618941,virtual:aug_711b464fe14eba85aebd
aug_ddf4ec444e98f75b3bd7,rec_392c70be3dc5bcda88c5,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/2010_M_owh.wav,tired/2010_M_owh.wav,baby,train,5,gaussian_noise,"{""noise_factor"":0.005121895}",11,8185291007560111178,virtual:aug_ddf4ec444e98f75b3bd7
aug_2d365a4f080896c7e23d,rec_e41629e8492bfc07276b,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3151_M_eairh.wav,belly_pain/3151_M_eairh.wav,baby,train,5,pitch_shift,"{""steps"":0.922942}",12,999423759261556035,virtual:aug_2d365a4f080896c7e23d
aug_9a9a9ea559ecaf1d4f18,rec_f86684c7658d6ac079e3,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/2436_M_owh.wav,tired/2436_M_owh.wav,baby,train,5,pitch_shift,"{""steps"":-0.976943}",13,4830325000261825527,virtual:aug_9a9a9ea559ecaf1d4f18
aug_281427a1b64c4758daf7,rec_6883498825c32e7e15df,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/4334_F_owh.wav,tired/4334_F_owh.wav,baby,train,5,time_stretch,"{""rate"":1.076117}",14,11873571319805044024,virtual:aug_281427a1b64c4758daf7
aug_324733a3b8aecfe3a29b,rec_f3c9e9d220dc2e97e90a,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2760_F_eairh.wav,belly_pain/2760_F_eairh.wav,baby,train,5,time_stretch,"{""rate"":0.91689}",15,3033616566261858775,virtual:aug_324733a3b8aecfe3a29b
aug_821ab38bdf7a0c2b0108,rec_a549fbbadfeefdc53ee5,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/2688_M_owh.wav,tired/2688_M_owh.wav,baby,train,5,time_shift,"{""fraction"":0.0484911}",16,17245648052661557971,virtual:aug_821ab38bdf7a0c2b0108
aug_7c79a50ded6aa6aed636,rec_6ad89027638c1a776894,/mnt/d/INFANT CRY/data_set_dbl_split/train/discomfort/4228_M_heh.wav,discomfort/4228_M_heh.wav,baby,train,5,gaussian_noise,"{""noise_factor"":0.002145664}",17,7513175906345467252,virtual:aug_7c79a50ded6aa6aed636
aug_593ed5fd61b89b423e77,rec_4405bc872ad0df61a8ea,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/2022_M_owh.wav,tired/2022_M_owh.wav,baby,train,5,pitch_shift,"{""steps"":2.186764}",18,9133004000902573896,virtual:aug_593ed5fd61b89b423e77
aug_32f917d64fa992e5fd25,rec_c2ca957db2b55f01ab5b,/mnt/d/INFANT CRY/data_set_dbl_split/train/burping/642_M_eh.wav,burping/642_M_eh.wav,baby,train,5,pitch_shift,"{""steps"":-2.11457}",19,5757228212213606847,virtual:aug_32f917d64fa992e5fd25
aug_e99074136524f32d53fd,rec_38a7153fe5890f34dbc3,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/2473_F_owh.wav,tired/2473_F_owh.wav,baby,train,5,time_stretch,"{""rate"":1.189881}",20,6092967036789165037,virtual:aug_e99074136524f32d53fd
aug_24a6f284dcba30d4faa3,rec_fac87a465c8472b089f6,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2250_F_eairh.wav,belly_pain/2250_F_eairh.wav,baby,train,5,time_stretch,"{""rate"":0.786919}",21,14683829581374291320,virtual:aug_24a6f284dcba30d4faa3
aug_e516d25b9bad0fe331b9,rec_77fdfcc3851cb5479103,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/4419_F_owh.wav,tired/4419_F_owh.wav,baby,train,5,gaussian_noise,"{""noise_factor"":0.00444756}",22,16866537540170274859,virtual:aug_e516d25b9bad0fe331b9
aug_764e3d59b69b29d8ac78,rec_30dd61c9506d4c0ad6d5,/mnt/d/INFANT CRY/data_set_dbl_split/train/hungry/1262_F_neh.wav,hungry/1262_F_neh.wav,baby,train,5,pitch_shift,"{""steps"":1.182937}",23,5735930100184342800,virtual:aug_764e3d59b69b29d8ac78
aug_37b8bf8c3e98fb09e46c,rec_d9fc0f1da80ad4b55ac5,/mnt/d/INFANT CRY/data_set_dbl_split/train/burping/2631_M_eh.wav,burping/2631_M_eh.wav,baby,train,5,pitch_shift,"{""steps"":-1.024764}",24,4814020885250955668,virtual:aug_37b8bf8c3e98fb09e46c
aug_5d7716f08eedb17a962b,rec_e341b409fa744b48140a,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2367_M_eairh.wav,belly_pain/2367_M_eairh.wav,baby,train,5,time_stretch,"{""rate"":1.11661}",25,14848945033192510434,virtual:aug_5d7716f08eedb17a962b
aug_7ac01bad854dabd2a4d2,rec_1afbccae7952244c5251,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/3522_M_owh.wav,tired/3522_M_owh.wav,baby,train,5,time_stretch,"{""rate"":0.892333}",26,6277896872850727752,virtual:aug_7ac01bad854dabd2a4d2
aug_2865a11445b15d19c483,rec_9f874a669b1439b8ba43,/mnt/d/INFANT CRY/data_set_dbl_split/train/burping/335_M_eh.wav,burping/335_M_eh.wav,baby,train,5,time_shift,"{""fraction"":0.0437478}",27,8840517408500491998,virtual:aug_2865a11445b15d19c483
aug_2226b5fff47728609f90,rec_19ca95fa0e9cc6f77602,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/dunstan-owh_17.wav,tired/dunstan-owh_17.wav,baby,train,5,gaussian_noise,"{""noise_factor"":0.002850435}",28,14756148424650842361,virtual:aug_2226b5fff47728609f90
aug_1531218e8298618f246b,rec_cba9e2293ee5fcc657a7,/mnt/d/INFANT CRY/data_set_dbl_split/train/tired/2266_M_owh.wav,tired/2266_M_owh.wav,baby,train,5,pitch_shift,"{""steps"":1.869638}",29,593609372926148065,virtual:aug_1531218e8298618f246b
aug_8c7f4fe373aab3c36d06,rec_95ecc93388c308db3fbd,/mnt/d/INFANT CRY/data_set_dbl_split/train/hungry/2219_M_neh.wav,hungry/2219_M_neh.wav,baby,train,5,pitch_shift,"{""steps"":-1.855615}",30,10742363503952422578,virtual:aug_8c7f4fe373aab3c36d06
