record_id,relative_path,source_label,model_label,source_dataset,sha256,status,exclusion_reason,canonical_record_id,group_id,group_rule
rec_f7aa0133337ace60d555,belly_pain/1028_M_eairh.wav,belly_pain,baby,infantcry_dbl,1815b60cfdd808b3732a493c135eec5819d84ba30227cda1bbd1617e563f4b96,eligible,,rec_f7aa0133337ace60d555,infant_sha256:1815b60cfdd808b3732a493c135eec5819d84ba30227cda1bbd1617e563f4b96,exact_content_sha256
rec_8eb32d69e06ea5b93592,belly_pain/1092_M_eairh.wav,belly_pain,baby,infantcry_dbl,69f6e5c9358418b1a1a98ad6786bffe2387d802a50d8454e732e4699ea5eec25,eligible,,rec_8eb32d69e06ea5b93592,infant_sha256:69f6e5c9358418b1a1a98ad6786bffe2387d802a50d8454e732e4699ea5eec25,exact_content_sha256
rec_0b9af0e67cf59b30d056,belly_pain/150_F_eairh.wav,belly_pain,baby,infantcry_dbl,af3f4141a7451b7b346c7f6cb59e2dd47af327670a6fb46450c49e40302a06b7,eligible,,rec_0b9af0e67cf59b30d056,infant_sha256:af3f4141a7451b7b346c7f6cb59e2dd47af327670a6fb46450c49e40302a06b7,exact_content_sha256
rec_0f7758c9a54b36ecee7a,belly_pain/1670_M_eairh.wav,belly_pain,baby,infantcry_dbl,4e2a7a3a612de39d14a4051eda442269c7dec9f579d7e2e0f15cb86849d76f02,eligible,,rec_0f7758c9a54b36ecee7a,infant_sha256:4e2a7a3a612de39d14a4051eda442269c7dec9f579d7e2e0f15cb86849d76f02,exact_content_sha256
rec_58113129639f4f58594e,belly_pain/1717_M_eairh.wav,belly_pain,baby,infantcry_dbl,5e15d7298526400abf1e1d7f7ff8d728c0012880c6e8d64bd03f24d13649f83e,eligible,,rec_58113129639f4f58594e,infant_sha256:5e15d7298526400abf1e1d7f7ff8d728c0012880c6e8d64bd03f24d13649f83e,exact_content_sha256
rec_e4305552c853d3129629,belly_pain/1799_M_eairh.wav,belly_pain,baby,infantcry_dbl,870ce609f02cd1cd90caad27a3a4185f2bec92bac0d859f106d730495f165808,eligible,,rec_e4305552c853d3129629,infant_sha256:870ce609f02cd1cd90caad27a3a4185f2bec92bac0d859f106d730495f165808,exact_content_sha256
rec_d77353847543588b42db,belly_pain/2293_M_eairh.wav,belly_pain,baby,infantcry_dbl,aca4b7305deed3249959c15af9c187af4dbbb9f57077054607f532b2fcc21dc1,eligible,,rec_d77353847543588b42db,infant_sha256:aca4b7305deed3249959c15af9c187af4dbbb9f57077054607f532b2fcc21dc1,exact_content_sha256
rec_9667df810f047cc9b8c3,belly_pain/2506_F_eairh.wav,belly_pain,baby,infantcry_dbl,dd75169a7dd81fce113a84cc763c71d437fa78c32142d8f631d1293b3430c3ea,eligible,,rec_9667df810f047cc9b8c3,infant_sha256:dd75169a7dd81fce113a84cc763c71d437fa78c32142d8f631d1293b3430c3ea,exact_content_sha256
rec_ed733972507d8d34de83,belly_pain/2584_M_eairh.wav,belly_pain,baby,infantcry_dbl,d380f290eb76324cac84d9a660c81e6621785c238e3c82b041725c6529db5c1f,eligible,,rec_ed733972507d8d34de83,infant_sha256:d380f290eb76324cac84d9a660c81e6621785c238e3c82b041725c6529db5c1f,exact_content_sha256
rec_dad159e95486efda5c73,belly_pain/2595_F_eairh.wav,belly_pain,baby,infantcry_dbl,0562b4dafe8d44b36300b59a0ce723fb738d0412c75a94d7ebb8fdd723cbe4a0,eligible,,rec_dad159e95486efda5c73,infant_sha256:0562b4dafe8d44b36300b59a0ce723fb738d0412c75a94d7ebb8fdd723cbe4a0,exact_content_sha256
rec_96a19be7075fda184275,belly_pain/2705_M_eairh.wav,belly_pain,baby,infantcry_dbl,ea4bfd98cd670cd95727ccae773dc4aed6e2fc456355a90de4b5e49fcabfb74f,eligible,,rec_96a19be7075fda184275,infant_sha256:ea4bfd98cd670cd95727ccae773dc4aed6e2fc456355a90de4b5e49fcabfb74f,exact_content_sha256
