stage,record_id,group_id,label,validation_fold
stage1,rec_fefa338d580873c2cd3e,infant_sha256:1746eae8c464c72b2186a2f22bcb7faf1a39fb2c5e08cf76ff14a0968938cd86,baby,1
stage1,rec_dc2883d8ee245da07d43,infant_sha256:48a1acab4344409f504f469f020678d7776f3065a0515c5f8140902692bf45e5,baby,1
stage1,rec_bc25d1ebb8434b66682a,infant_sha256:ff50650762c3b1d1842ff03588c477ad4443b96d05b8c4e92e688545e5b4b2a6,baby,1
stage1,rec_c7ab84dc1e25a511f089,infant_sha256:6bc38b9d403174682237bddf276b0324d8012977537635873e41d7e975daab8f,baby,1
stage1,rec_0ddf3d9b53d6a320397d,infant_sha256:adcac87f26a49067239153fa1158ad07ba16cc95c27ae12791dd2fec2b1dcc90,baby,1
stage1,rec_a5ec4310f567f29fe0e6,infant_sha256:3c11511aa2aca6cffaf290fbdd2542ea6d350ae044f19f311ba289e0c4b09540,baby,1
stage1,rec_2730b77759b8808a6d27,infant_sha256:5ad24efaebed6b3f809e343af4784b8bad8ba5db04c3291efa282967ee103993,baby,1
stage1,rec_b6b66fb3f3de74db9ab8,infant_sha256:c4dd31085491fcac478954373ed0b61c18481364ceae041793da9518a16b2f64,baby,1
stage1,rec_212b93ff5570b7840e1a,infant_sha256:8211fc9f4a86ac992f108ee8a1c5e4c625c95e4466c9e977011037937c434a46,baby,1
stage1,rec_50da61b23db30480db84,infant_sha256:9fde7aede32b5320f792a545ddab382f6ff2f83e44d7609fd5c01e44dd8becfa,baby,1
stage1,rec_f6e860c75ce7b1ebce05,infant_sha256:4aefb574b66e26210f7814e88826959577ca75e345ee5a9a40c33961fe62eeb2,baby,1
stage1,rec_f08400013ae835c03434,infant_sha256:e33c040d318e88074a5e32071647b074a58253e31f6e75f9d83fdf7dd9b12910,baby,1
stage1,rec_bc38ab67adac26f034e8,infant_sha256:531199248551ecacbd79c1e9d0bf08bb29ceff42f6aba4a21120d8d45ee433d8,baby,1
stage1,rec_886741e63dcc59e4d15d,infant_sha256:25f1e26744ef82ed08155d85bcfef388e18abb2761bf5ac65e793a8ac751e8e4,baby,1
stage1,rec_86e990c657f137ebbf87,infant_sha256:59f26d398c8d75cac875d3dadf48b580f1b9b2c69582929bba7a11539183dd17,baby,1
stage1,rec_6f6b4910a46d0f5c9466,infant_sha256:e44b9fc6ecf405f8ab3ca7aa5c691143ddbd967800c062adaeeed7ae11642588,baby,1
stage1,rec_38916b588bfc277e0233,infant_sha256:a79e79453842b7491c0ec793e4bfe32ddf2796404fd2b2ae15b5811375ac25e2,baby,1
stage1,rec_917b2809b108d84393e1,infant_sha256:caa05b68e4398b392e93318279ed291d5e98ba1a643d33bf8fd280786153e9d8,baby,1
stage1,rec_dbafcb96ca6a87f36f52,infant_sha256:6cd6f6e5c161e78c32525683a639a9a9ab9c11c14cc48929c93d42be00a0e8fe,baby,1
stage1,rec_e6d5a53ef5c2a42cae1f,infant_sha256:105bbf74d33a2c7a9b7ecff93a0335ca785aa31aea0c2c322815ffcefd1bfda4,baby,1
stage1,rec_b2242a410e34ac87e103,infant_sha256:89577d9bb58322056e964be62c92957655aeedb628e052baed1e76ab436b6d54,baby,1
stage1,rec_aef16fe4b73818181ee3,infant_sha256:56b3f4c1f74778e42892b692b68ea25b91fdd16d905856ba600bab014ed5b35e,baby,1
stage1,rec_fe2bd084cd57ea19b335,infant_sha256:1fe5f80c9b393a6bbcf6b63364e395138a17ee332bcb992b2a7e6ce80e13b3a2,baby,1
stage1,rec_91a8baa5de8351206dc1,infant_sha256:d3aaf72c55489f123a502254549835d0a189ab94d1e6633c828eb0a94bcab498,baby,1
stage1,rec_aa640949ec798068cbcb,infant_sha256:046799fe1455c9c353da7dcc6931cb792a0360340ae23da1bb0c640d8a72ecb4,baby,1
stage1,rec_04d8723e876919f7d0c5,infant_sha256:fb59ff63dd024c195cabf21ee0317affe6da07c4ccf05e3dc10c7fbff7f4e645,baby,1
stage1,rec_76c476f521e31ec4c31a,infant_sha256:d64a00b82f94c6a58db89df52afabe99d9464019ba00dc276a690ef602e8eb54,baby,1
stage1,rec_583b16956c6c814d67fe,infant_sha256:06f9596f8f896e0444e9f3d6dd0e275425df00d2f5fe90e5f9b8c82bbcd823ef,baby,1
stage1,rec_1eb9fd4af465d3df769d,infant_sha256:3d1d3a9de22b3dd9a75a28076f0666d9fe8b7e10905539bcd0c8503979d75741,baby,1
stage1,rec_fbef8f5e2003e3f7e55d,infant_sha256:7d087bf0d392266023ae4c508f2dc7a71c4d08da44dd43ee1ee0856dec82fec4,baby,1
stage1,rec_8405ff9deb2601ec3688,infant_sha256:d9a8ea049618faa3cf9d1e9b6a9460fd8c31fcd63f9419490102db02085a7680,baby,1
stage1,rec_7f5f72cffacee5752ddb,infant_sha256:a4aa673b6e979cc927669c90a855494ac2d988782815f0483289b83bd0db52cf,baby,1
stage1,rec_76d86ebe51c4717b2eef,infant_sha256:86841c08ebd872a14a443438c9a13b68b5c973db8af04f6fc8989540ce8186d3,baby,1
stage1,rec_8fa03b0b1122bc99fa71,infant_sha256:9810042bbc43ae0a284496ae3a7729759ce40e938323a058c5380776b3d64445,baby,1
stage1,rec_9f874a669b1439b8ba43,infant_sha256:0f86a21f1db9652aa354bb7ef030679964c7ae9e969c2c37259f58e238cbfab8,baby,1
stage1,rec_02ded2dafd9c65710523,infant_sha256:ef935196a5d5c3888adcc945bc943a1aa5a90f1b5d7b937c5033707fbffe3c99,baby,1
stage1,rec_f563132c4a35d9e664db,infant_sha256:b2ec7b0351dff824ddabca329e242472280f33dd8f5f65800e16544548513933,baby,1
stage1,rec_246e21d1f4b12af163dd,infant_sha256:bce9bc7dfd7a660cf9bec5d194db7f503ca86d7625a85042471d5287dad455f9,baby,1
stage1,rec_c406d6a42a64a393f607,infant_sha256:3123ccb415bb317f14720fb25ff9888e1e21ab6799e84817da04a2803f1fa13f,baby,1
stage1,rec_a9a6a0ec78c393f1423a,infant_sha256:94444e1b0216a7c32e9007e349126949b35e614f1eea198705df18991602efe5,baby,1
stage1,rec_63a5ffd4b62830708b3e,infant_sha256:b4e2b831a474a89fb230ec4008345665d0e525c2b3f1cd88deb34ba318b95c94,baby,1
