sample_id,original_record_id,original_filepath,original_relative_path,label,partition,fold,augmentation_type,augmentation_params,augmentation_index,seed,output_reference
aug_fd4c83bbdfaf735399b0,rec_fba775c7ee6d938c4a28,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\2566_M_eairh.wav,belly_pain/2566_M_eairh.wav,belly_pain,train,4,gaussian_noise,"{""noise_factor"":0.004893573}",0,767614169653863905,virtual:aug_fd4c83bbdfaf735399b0
aug_73ffa46404b08b4b65cd,rec_43b3fbffb18394a3d9df,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_52.wav,belly_pain/dunstan-eairh_52.wav,belly_pain,train,4,pitch_shift,"{""steps"":1.09928}",1,15013642906526352902,virtual:aug_73ffa46404b08b4b65cd
aug_dd705119170941118dd8,rec_99c997cbc56d30a6f86a,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\4463_F_eairh.wav,belly_pain/4463_F_eairh.wav,belly_pain,train,4,pitch_shift,"{""steps"":-1.083022}",2,15626990273108610336,virtual:aug_dd705119170941118dd8
aug_bd4c5b154e74cb177a7a,rec_dadefbf45bb8caa60b9e,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\2269_M_eairh.wav,belly_pain/2269_M_eairh.wav,belly_pain,train,4,time_stretch,"{""rate"":1.11416}",3,15341755063065074486,virtual:aug_bd4c5b154e74cb177a7a
aug_07f8406c950d18c5a55a,rec_cdcf04a52b20c44770ea,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\2685_F_eairh.wav,belly_pain/2685_F_eairh.wav,belly_pain,train,4,time_stretch,"{""rate"":0.899687}",4,8953510339940412878,virtual:aug_07f8406c950d18c5a55a
aug_85b8a359f1ef0217c3ff,rec_983c3aa745cbf8ace922,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_22.wav,belly_pain/dunstan-eairh_22.wav,belly_pain,train,4,time_shift,"{""fraction"":-0.0241057}",5,12468523121149240711,virtual:aug_85b8a359f1ef0217c3ff
aug_01c729095f1f7f4b0fff,rec_179925449a09539a329f,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\dunstan-eairh_50.wav,belly_pain/dunstan-eairh_50.wav,belly_pain,train,4,gaussian_noise,"{""noise_factor"":0.002745764}",6,7948638329139266027,virtual:aug_01c729095f1f7f4b0fff
aug_05dd9754b2e0839c01fe,rec_519de6d134c08a715f7a,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\4437_M_eairh.wav,belly_pain/4437_M_eairh.wav,belly_pain,train,4,pitch_shift,"{""steps"":2.055758}",7,1870175886320741204,virtual:aug_05dd9754b2e0839c01fe
aug_16f12cd46817e7c4faff,rec_f6e860c75ce7b1ebce05,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\4711_M_eairh.wav,belly_pain/4711_M_eairh.wav,belly_pain,train,4,pitch_shift,"{""steps"":-1.854743}",8,6266190936137065131,virtual:aug_16f12cd46817e7c4faff
aug_06c15a015bae06961366,rec_df6f22b942b4fbdceea0,D:\INFANT CRY\data_set_dbl_split\train\belly_pain\318_M_eairh.wav,belly_pain/318_M_eairh.wav,belly_pain,train,4,time_stretch,"{""rate"":1.209754}",9,4342314447752495337,virtual:aug_06c15a015bae06961366
