sample_id,original_record_id,original_filepath,original_relative_path,label,partition,fold,augmentation_type,augmentation_params,augmentation_index,seed,output_reference
aug_0d83df8fc0174e508901,rec_9516de195d0ec83f4725,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3195_M_eairh.wav,belly_pain/3195_M_eairh.wav,belly_pain,train,final_refit,gaussian_noise,"{""noise_factor"":0.00537017}",0,10480024721325072713,virtual:aug_0d83df8fc0174e508901
aug_ae3bc5c7aaed1da3d6ec,rec_0c5e583cba7fea6e7572,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3688_M_eairh.wav,belly_pain/3688_M_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":1.040366}",1,17348077995624165063,virtual:aug_ae3bc5c7aaed1da3d6ec
aug_f0f4c73fecbfe44ca4f0,rec_5d81264429765a29a2c1,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1370_M_eairh.wav,belly_pain/1370_M_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":-0.950629}",2,3327117411029959059,virtual:aug_f0f4c73fecbfe44ca4f0
aug_c736a2648a8ac9f90977,rec_fcc4c169f306104793fd,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1588_M_eairh.wav,belly_pain/1588_M_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":1.089506}",3,12709902269724939141,virtual:aug_c736a2648a8ac9f90977
aug_ce83bbc812dfe4360c50,rec_fefa338d580873c2cd3e,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1190_M_eairh.wav,belly_pain/1190_M_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":0.883145}",4,8607724823857864461,virtual:aug_ce83bbc812dfe4360c50
aug_c30d4afb9eaa3c9b0248,rec_f08400013ae835c03434,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_12.wav,belly_pain/dunstan-eairh_12.wav,belly_pain,train,final_refit,time_shift,"{""fraction"":-0.0066993}",5,8290839439600210537,virtual:aug_c30d4afb9eaa3c9b0248
aug_5ecfe013f92f513f4b80,rec_aef5992e5f42844e0dda,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_53.wav,belly_pain/dunstan-eairh_53.wav,belly_pain,train,final_refit,gaussian_noise,"{""noise_factor"":0.002348158}",6,4307252493615306621,virtual:aug_5ecfe013f92f513f4b80
aug_b19256fcf9223f7950a0,rec_0213f75c14f4849c2a83,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_41.wav,belly_pain/dunstan-eairh_41.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":1.844805}",7,11969313507731558111,virtual:aug_b19256fcf9223f7950a0
aug_a7ed670c52edad03dd9b,rec_e28be47a3f49c072a427,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_8.wav,belly_pain/dunstan-eairh_8.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":-1.942942}",8,8078568640179011048,virtual:aug_a7ed670c52edad03dd9b
aug_89d23c8ac194e5867e33,rec_a29eb2fa57b194483f26,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2101_M_eairh.wav,belly_pain/2101_M_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":1.20293}",9,16738860872195268907,virtual:aug_89d23c8ac194e5867e33
aug_86071a0d8adeb5fc3d56,rec_99c997cbc56d30a6f86a,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4463_F_eairh.wav,belly_pain/4463_F_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":0.819407}",10,226979042450468077,virtual:aug_86071a0d8adeb5fc3d56
aug_9e803ee96c77a30a91db,rec_519de6d134c08a715f7a,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4437_M_eairh.wav,belly_pain/4437_M_eairh.wav,belly_pain,train,final_refit,gaussian_noise,"{""noise_factor"":0.005572723}",11,16314754508649335593,virtual:aug_9e803ee96c77a30a91db
aug_cf20954d9dcaaa00c441,rec_d9029df6f0570483478b,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/393_M_eairh.wav,belly_pain/393_M_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":1.087878}",12,17610095598006386032,virtual:aug_cf20954d9dcaaa00c441
aug_da3c7e9853e6c150e38d,rec_b97b97506a926108c4fb,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4511_F_eairh.wav,belly_pain/4511_F_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":-1.04629}",13,1104199202279032421,virtual:aug_da3c7e9853e6c150e38d
aug_66b1de1e7a3c5dfa23a9,rec_b6b66fb3f3de74db9ab8,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3825_M_eairh.wav,belly_pain/3825_M_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":1.118952}",14,11644750370997539474,virtual:aug_66b1de1e7a3c5dfa23a9
aug_1f50cd64403a1e55796d,rec_537385263a6cfc438d37,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1084_M_eairh.wav,belly_pain/1084_M_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":0.907514}",15,5093214010597304298,virtual:aug_1f50cd64403a1e55796d
aug_6fe41297227d97c1a85b,rec_e341b409fa744b48140a,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2367_M_eairh.wav,belly_pain/2367_M_eairh.wav,belly_pain,train,final_refit,time_shift,"{""fraction"":-0.0091403}",16,8694323256201346791,virtual:aug_6fe41297227d97c1a85b
aug_4424d5e838ff4324b1b2,rec_3be61b78079d39f26682,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4847_M_eairh.wav,belly_pain/4847_M_eairh.wav,belly_pain,train,final_refit,gaussian_noise,"{""noise_factor"":0.00222678}",17,15316713074223856731,virtual:aug_4424d5e838ff4324b1b2
aug_717fd531698d3eab8edf,rec_f6e860c75ce7b1ebce05,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4711_M_eairh.wav,belly_pain/4711_M_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":2.038321}",18,5990509331972270956,virtual:aug_717fd531698d3eab8edf
aug_b2f7f4e88bc93cee458e,rec_774e95ea65e8ccac1202,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4684_M_eairh.wav,belly_pain/4684_M_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":-1.939782}",19,6159771578460817144,virtual:aug_b2f7f4e88bc93cee458e
aug_69bdfd1a062ab50243b3,rec_81fef69644989c4602c2,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4745_M_eairh.wav,belly_pain/4745_M_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":1.224939}",20,2953856212227382323,virtual:aug_69bdfd1a062ab50243b3
aug_c43544df4893ae0d538b,rec_728bae3265a2cb099ec1,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_38.wav,belly_pain/dunstan-eairh_38.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":0.799617}",21,10571638500716461193,virtual:aug_c43544df4893ae0d538b
aug_f1cf6ddf1c8877ebf65c,rec_2730b77759b8808a6d27,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3786_M_eairh.wav,belly_pain/3786_M_eairh.wav,belly_pain,train,final_refit,gaussian_noise,"{""noise_factor"":0.004450905}",22,16927294527891715586,virtual:aug_f1cf6ddf1c8877ebf65c
aug_688aa1af973e907894ce,rec_6ac41708a7f3de4ed900,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_9.wav,belly_pain/dunstan-eairh_9.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":0.956809}",23,5000582767998917756,virtual:aug_688aa1af973e907894ce
aug_ddaba554ee5aaebb74d1,rec_25708979c73d741b3abd,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2208_M_eairh.wav,belly_pain/2208_M_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":-1.000389}",24,4033840092227279382,virtual:aug_ddaba554ee5aaebb74d1
aug_283188db5b6231c9984c,rec_a81034a5fda8f72d3ad1,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/287_F_eairh.wav,belly_pain/287_F_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":1.084955}",25,4150069242684246603,virtual:aug_283188db5b6231c9984c
aug_a119adce6f60939fa9be,rec_9fe218fb42a48370949d,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/476_M_eairh.wav,belly_pain/476_M_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":0.919843}",26,10482630940074258047,virtual:aug_a119adce6f60939fa9be
aug_c2241192916477ca6a18,rec_7923b3cade105f0c3c70,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2651_F_eairh.wav,belly_pain/2651_F_eairh.wav,belly_pain,train,final_refit,time_shift,"{""fraction"":-0.0981763}",27,12718604403144721387,virtual:aug_c2241192916477ca6a18
aug_2a5eec8fd6a20d56b75e,rec_aee0e27f53394dd9463f,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/792_M_eairh.wav,belly_pain/792_M_eairh.wav,belly_pain,train,final_refit,gaussian_noise,"{""noise_factor"":0.002366254}",28,18172460377855675393,virtual:aug_2a5eec8fd6a20d56b75e
aug_86812abdc013ecd0e478,rec_0bf28df218daf1ccd7d4,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_31.wav,belly_pain/dunstan-eairh_31.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":1.971916}",29,8981922968420690003,virtual:aug_86812abdc013ecd0e478
aug_32603036fabc5b3363f2,rec_4771cea23a26a41b1167,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/216_M_eairh.wav,belly_pain/216_M_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":-2.046209}",30,8531971762971510330,virtual:aug_32603036fabc5b3363f2
aug_7128a1697ad0e7874816,rec_0dcb14da74eee37cc249,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_24.wav,belly_pain/dunstan-eairh_24.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":1.216886}",31,10762007426607436910,virtual:aug_7128a1697ad0e7874816
aug_1b71a92428006d947d05,rec_f727cf87adcf68c78684,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1248_M_eairh.wav,belly_pain/1248_M_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":0.819897}",32,3069207989745744242,virtual:aug_1b71a92428006d947d05
aug_af5895d50dce52a50f13,rec_8cea211c8ae2584daf02,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1516_M_eairh.wav,belly_pain/1516_M_eairh.wav,belly_pain,train,final_refit,gaussian_noise,"{""noise_factor"":0.005056334}",33,2776135001345957528,virtual:aug_af5895d50dce52a50f13
aug_4e876f61529dad66c8e4,rec_344f2459aa8a88a9964a,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/228_M_eairh.wav,belly_pain/228_M_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":0.908459}",34,16506415705523388006,virtual:aug_4e876f61529dad66c8e4
aug_f26ad9b76fb08447adc4,rec_0c6c903753d565dac519,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3505_M_eairh.wav,belly_pain/3505_M_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":-0.853552}",35,2829336365931410158,virtual:aug_f26ad9b76fb08447adc4
aug_eb146267776dc04adbba,rec_fac87a465c8472b089f6,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2250_F_eairh.wav,belly_pain/2250_F_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":1.096293}",36,5891473891054151552,virtual:aug_eb146267776dc04adbba
aug_847ad22815895e9494c8,rec_2fbe8d849db8271b15ba,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2901_M_eairh.wav,belly_pain/2901_M_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":0.923141}",37,5350825359563616361,virtual:aug_847ad22815895e9494c8
aug_5002952187cd24c46dff,rec_b52b02478d157dfacee6,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3541_M_eairh.wav,belly_pain/3541_M_eairh.wav,belly_pain,train,final_refit,time_shift,"{""fraction"":-0.052842}",38,15698429042153785626,virtual:aug_5002952187cd24c46dff
aug_9304dd13ca0540fe3b26,rec_7bfbf6df11a5121ca4c9,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/934_M_eairh.wav,belly_pain/934_M_eairh.wav,belly_pain,train,final_refit,gaussian_noise,"{""noise_factor"":0.00259261}",39,3096036982200137448,virtual:aug_9304dd13ca0540fe3b26
aug_0c3834a806db2026a109,rec_917b2809b108d84393e1,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_37.wav,belly_pain/dunstan-eairh_37.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":1.898543}",40,14337933008657194639,virtual:aug_0c3834a806db2026a109
aug_15854180f8f8a8e08a8a,rec_db0170c6e9143b76c98f,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1215_M_eairh.wav,belly_pain/1215_M_eairh.wav,belly_pain,train,final_refit,pitch_shift,"{""steps"":-2.027073}",41,10674016008268706813,virtual:aug_15854180f8f8a8e08a8a
aug_53b9d35ecf18df48e26b,rec_01476f7d02dc9fb5bfc4,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1330_M_eairh.wav,belly_pain/1330_M_eairh.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":1.208229}",42,8689313591099864741,virtual:aug_53b9d35ecf18df48e26b
aug_d68ca0cf32fde75f0dd8,rec_983c3aa745cbf8ace922,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_22.wav,belly_pain/dunstan-eairh_22.wav,belly_pain,train,final_refit,time_stretch,"{""rate"":0.77847}",43,10194499909204214765,virtual:aug_d68ca0cf32fde75f0dd8
aug_ea7cf38a672db29c285a,rec_b2242a410e34ac87e103,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_7.wav,belly_pain/dunstan-eairh_7.wav,belly_pain,train,final_refit,gaussian_noise,"{""noise_factor"":0.004632876}",44,1825301659950835332,virtual:aug_ea7cf38a672db29c285a
