sample_id,original_record_id,original_filepath,original_relative_path,label,partition,fold,augmentation_type,augmentation_params,augmentation_index,seed,output_reference
aug_5ad630ff4a3e90ce0e61,rec_50da61b23db30480db84,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4601_M_eairh.wav,belly_pain/4601_M_eairh.wav,belly_pain,train,3,gaussian_noise,"{""noise_factor"":0.004928322}",0,18418959892631145958,virtual:aug_5ad630ff4a3e90ce0e61
aug_57a71cbdd263ded21840,rec_917b2809b108d84393e1,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_37.wav,belly_pain/dunstan-eairh_37.wav,belly_pain,train,3,pitch_shift,"{""steps"":1.09844}",1,15278512636400687442,virtual:aug_57a71cbdd263ded21840
aug_49f0bdf77c0b5fbe51e9,rec_984c63597c96f9a7a5eb,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3319_M_eairh.wav,belly_pain/3319_M_eairh.wav,belly_pain,train,3,pitch_shift,"{""steps"":-0.885447}",2,11275090037833053143,virtual:aug_49f0bdf77c0b5fbe51e9
aug_4e85d1e2aa655fd6443e,rec_aee0e27f53394dd9463f,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/792_M_eairh.wav,belly_pain/792_M_eairh.wav,belly_pain,train,3,time_stretch,"{""rate"":1.107583}",3,9715132277815010062,virtual:aug_4e85d1e2aa655fd6443e
aug_a86bc19f266e5a2a704c,rec_a4059f5ca3482bd507f9,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2217_M_eairh.wav,belly_pain/2217_M_eairh.wav,belly_pain,train,3,time_stretch,"{""rate"":0.917648}",4,13284379806093320742,virtual:aug_a86bc19f266e5a2a704c
aug_65795871b548637b7bd7,rec_f08400013ae835c03434,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_12.wav,belly_pain/dunstan-eairh_12.wav,belly_pain,train,3,time_shift,"{""fraction"":-0.0817175}",5,10084198403860546210,virtual:aug_65795871b548637b7bd7
aug_2220ee27ec5dd6e1f13e,rec_49997b84581d28fe47cf,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1498_M_eairh.wav,belly_pain/1498_M_eairh.wav,belly_pain,train,3,gaussian_noise,"{""noise_factor"":0.002360637}",6,4136735134358226678,virtual:aug_2220ee27ec5dd6e1f13e
aug_e12ddd32683983c83065,rec_983c3aa745cbf8ace922,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_22.wav,belly_pain/dunstan-eairh_22.wav,belly_pain,train,3,pitch_shift,"{""steps"":2.04806}",7,10781369507854370663,virtual:aug_e12ddd32683983c83065
aug_93af1013e9295c88cd09,rec_6a612fdb6f32216b009d,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_60.wav,belly_pain/dunstan-eairh_60.wav,belly_pain,train,3,pitch_shift,"{""steps"":-2.136223}",8,5441208130947441515,virtual:aug_93af1013e9295c88cd09
aug_e86f3d34a855431d39f3,rec_45acf6d12a71c4b85dfc,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_33.wav,belly_pain/dunstan-eairh_33.wav,belly_pain,train,3,time_stretch,"{""rate"":1.193059}",9,10322009154639868111,virtual:aug_e86f3d34a855431d39f3
aug_91f9aba7ac1dac5566ba,rec_88e4a7633c64c24b0e2a,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1353_M_eairh.wav,belly_pain/1353_M_eairh.wav,belly_pain,train,3,time_stretch,"{""rate"":0.793637}",10,12464114825737031387,virtual:aug_91f9aba7ac1dac5566ba
aug_18fc5df5c556680dddc8,rec_3be61b78079d39f26682,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4847_M_eairh.wav,belly_pain/4847_M_eairh.wav,belly_pain,train,3,gaussian_noise,"{""noise_factor"":0.005642231}",11,8647696347192512096,virtual:aug_18fc5df5c556680dddc8
aug_3f573e390fe43a1e20be,rec_537385263a6cfc438d37,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1084_M_eairh.wav,belly_pain/1084_M_eairh.wav,belly_pain,train,3,pitch_shift,"{""steps"":0.83901}",12,13784595007923237486,virtual:aug_3f573e390fe43a1e20be
aug_a9bb4ec179c725c3a869,rec_fdf6fac981d89bd04593,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/3344_M_eairh.wav,belly_pain/3344_M_eairh.wav,belly_pain,train,3,pitch_shift,"{""steps"":-0.871852}",13,3147355579324674738,virtual:aug_a9bb4ec179c725c3a869
aug_563b8624e643ea2aae79,rec_9897d60d93c5b1f8c62b,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_14.wav,belly_pain/dunstan-eairh_14.wav,belly_pain,train,3,time_stretch,"{""rate"":1.087969}",14,978533233666217035,virtual:aug_563b8624e643ea2aae79
aug_1cec690d3b6d29b46751,rec_a81034a5fda8f72d3ad1,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/287_F_eairh.wav,belly_pain/287_F_eairh.wav,belly_pain,train,3,time_stretch,"{""rate"":0.917102}",15,18158350656393573433,virtual:aug_1cec690d3b6d29b46751
aug_2b43aad86aebb1e7d062,rec_bc25d1ebb8434b66682a,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2293_F_eairh.wav,belly_pain/2293_F_eairh.wav,belly_pain,train,3,time_shift,"{""fraction"":-0.0048309}",16,12189573554105885223,virtual:aug_2b43aad86aebb1e7d062
aug_f5456af48bb2fab4a59c,rec_9b5466053393e9dbc382,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_23.wav,belly_pain/dunstan-eairh_23.wav,belly_pain,train,3,gaussian_noise,"{""noise_factor"":0.002697926}",17,1614495710972686842,virtual:aug_f5456af48bb2fab4a59c
aug_4d6680d38e919e7a28fb,rec_f727cf87adcf68c78684,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1248_M_eairh.wav,belly_pain/1248_M_eairh.wav,belly_pain,train,3,pitch_shift,"{""steps"":2.17659}",18,7674655265239083950,virtual:aug_4d6680d38e919e7a28fb
aug_7c2ce7966b7ae93b2609,rec_519de6d134c08a715f7a,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/4437_M_eairh.wav,belly_pain/4437_M_eairh.wav,belly_pain,train,3,pitch_shift,"{""steps"":-2.010954}",19,12780836731391196475,virtual:aug_7c2ce7966b7ae93b2609
aug_bed406be2ebcb247538c,rec_a13b92fdc5317e0a51d9,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/548_F_eairh.wav,belly_pain/548_F_eairh.wav,belly_pain,train,3,time_stretch,"{""rate"":1.177391}",20,1200924687060141137,virtual:aug_bed406be2ebcb247538c
aug_95f34112d6f625bc2d48,rec_50282cf393ad274e3952,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/dunstan-eairh_32.wav,belly_pain/dunstan-eairh_32.wav,belly_pain,train,3,time_stretch,"{""rate"":0.78472}",21,10374659116232638106,virtual:aug_95f34112d6f625bc2d48
aug_9e15963a88c24aaeddd8,rec_cdb8986fc6e0fa25ec62,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/2644_M_eairh.wav,belly_pain/2644_M_eairh.wav,belly_pain,train,3,gaussian_noise,"{""noise_factor"":0.004454469}",22,17160104808663178597,virtual:aug_9e15963a88c24aaeddd8
aug_0ea7066c9c7216a1088b,rec_fcc4c169f306104793fd,/mnt/d/INFANT CRY/data_set_dbl_split/train/belly_pain/1588_M_eairh.wav,belly_pain/1588_M_eairh.wav,belly_pain,train,3,pitch_shift,"{""steps"":1.119266}",23,18191687635499164687,virtual:aug_0ea7066c9c7216a1088b
