record_id,relative_path,source_label,model_label,source_dataset,sha256,status,exclusion_reason,canonical_record_id,group_id,group_rule
rec_537385263a6cfc438d37,belly_pain/1084_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,9d898b0b8f7cbfa275d1a9cd68dc0cc13f29bf64291942d7201754d66d6ba416,eligible,,rec_537385263a6cfc438d37,sha256:9d898b0b8f7cbfa275d1a9cd68dc0cc13f29bf64291942d7201754d66d6ba416,exact_content_sha256
rec_fefa338d580873c2cd3e,belly_pain/1190_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,1746eae8c464c72b2186a2f22bcb7faf1a39fb2c5e08cf76ff14a0968938cd86,eligible,,rec_fefa338d580873c2cd3e,sha256:1746eae8c464c72b2186a2f22bcb7faf1a39fb2c5e08cf76ff14a0968938cd86,exact_content_sha256
rec_f3b17560413168dbbc98,belly_pain/1197_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,5e3a778b7dae6391fbf2980d9e04a4389511f64e4dc06a6f58bb3b54403bf1bf,eligible,,rec_f3b17560413168dbbc98,sha256:5e3a778b7dae6391fbf2980d9e04a4389511f64e4dc06a6f58bb3b54403bf1bf,exact_content_sha256
rec_db0170c6e9143b76c98f,belly_pain/1215_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,487e3eb23e700a93ef569d9848ce1bafcf2e4e468e007031a8b0b6283a5e8bee,eligible,,rec_db0170c6e9143b76c98f,sha256:487e3eb23e700a93ef569d9848ce1bafcf2e4e468e007031a8b0b6283a5e8bee,exact_content_sha256
rec_f727cf87adcf68c78684,belly_pain/1248_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,f93a9c39efa580d0dc51613e87b387de74a3ccd1871ab80ccaea51544c164494,eligible,,rec_f727cf87adcf68c78684,sha256:f93a9c39efa580d0dc51613e87b387de74a3ccd1871ab80ccaea51544c164494,exact_content_sha256
rec_3c400a3cd8526f5968e2,belly_pain/1321_F_eairh.wav,belly_pain,belly_pain,infantcry_dbl,cfcb1c396f928a7db0054247a6766148beb1b11ac18f384a651b66959b68dd7e,eligible,,rec_3c400a3cd8526f5968e2,sha256:cfcb1c396f928a7db0054247a6766148beb1b11ac18f384a651b66959b68dd7e,exact_content_sha256
rec_01476f7d02dc9fb5bfc4,belly_pain/1330_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,b20f9f3f810bdca041b45bf082a5b6b8a33cf9973a5d5b00d4909a4509a904b7,eligible,,rec_01476f7d02dc9fb5bfc4,sha256:b20f9f3f810bdca041b45bf082a5b6b8a33cf9973a5d5b00d4909a4509a904b7,exact_content_sha256
rec_88e4a7633c64c24b0e2a,belly_pain/1353_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,30eedff31f2917f34dc4054f1e1fede294438f92fcc11eff83382d0630bed578,eligible,,rec_88e4a7633c64c24b0e2a,sha256:30eedff31f2917f34dc4054f1e1fede294438f92fcc11eff83382d0630bed578,exact_content_sha256
rec_5d81264429765a29a2c1,belly_pain/1370_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,c32711ad200dc7027dd5338e9b0ddd2f9df3c900401403a05c065062a61d864c,eligible,,rec_5d81264429765a29a2c1,sha256:c32711ad200dc7027dd5338e9b0ddd2f9df3c900401403a05c065062a61d864c,exact_content_sha256
rec_a0848fd98077b24f5820,belly_pain/1462_F_eairh.wav,belly_pain,belly_pain,infantcry_dbl,bc7f1705b53f89d2f844c2b2e146e20500f74b0e2f5797429d88e6752b744c94,eligible,,rec_a0848fd98077b24f5820,sha256:bc7f1705b53f89d2f844c2b2e146e20500f74b0e2f5797429d88e6752b744c94,exact_content_sha256
rec_49997b84581d28fe47cf,belly_pain/1498_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,84e07fa63c82b05be7a52d4d6afef8aa10492c4d01fe8a5d869bda23234d5821,eligible,,rec_49997b84581d28fe47cf,sha256:84e07fa63c82b05be7a52d4d6afef8aa10492c4d01fe8a5d869bda23234d5821,exact_content_sha256
rec_8cea211c8ae2584daf02,belly_pain/1516_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,5a1c58c4d3cad2859ad8b8a664619b615cf9ab17a0142a7808ed3a8139d9df80,eligible,,rec_8cea211c8ae2584daf02,sha256:5a1c58c4d3cad2859ad8b8a664619b615cf9ab17a0142a7808ed3a8139d9df80,exact_content_sha256
rec_4540c986f8cce2bafa2c,belly_pain/1554_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,3bf9b0054fbf35ef0935161c2c32d4c300cab9512aa7404b5fd272e75712be36,eligible,,rec_4540c986f8cce2bafa2c,sha256:3bf9b0054fbf35ef0935161c2c32d4c300cab9512aa7404b5fd272e75712be36,exact_content_sha256
rec_fcc4c169f306104793fd,belly_pain/1588_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,3aee28552080d0db55ac45d25e6d46ebae7467cc388c524b13faf129bf003010,eligible,,rec_fcc4c169f306104793fd,sha256:3aee28552080d0db55ac45d25e6d46ebae7467cc388c524b13faf129bf003010,exact_content_sha256
rec_a29eb2fa57b194483f26,belly_pain/2101_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,6cc7a536e2182e69ef45b562b1c9e86e836c36e8e0fdd6536a4eaad5b989bfa2,eligible,,rec_a29eb2fa57b194483f26,sha256:6cc7a536e2182e69ef45b562b1c9e86e836c36e8e0fdd6536a4eaad5b989bfa2,exact_content_sha256
rec_4771cea23a26a41b1167,belly_pain/216_M_eairh.wav,belly_pain,belly_pain,infantcry_dbl,e7da0e31a37cbff8d2663a2cae5a92dc072c1dcc038ff67809acdb828b716224,eligible,,rec_4771cea23a26a41b1167,sha256:e7da0e31a37cbff8d2663a2cae5a92dc072c1dcc038ff67809acdb828b716224,exact_content_sha256
